epoch,KF_E_m,KF_N_m,KF_U_m,KF_nobias_E_m,KF_nobias_N_m,KF_nobias_U_m,Single_E_m,Single_N_m,Single_U_m,C1_sat_count,C2_sat_count,L1_sat_count,L2_sat_count,ref_sat,condition,block_mode,R_diff_diag_coeff,R_diff_offdiag_coeff
86,-1.37102644313234,0.0859979055892561,-0.00304758305927293,-1.2888010106184,0.358599669962494,-0.327769324327544,-1.16607405801716,-0.200746011906204,-0.197957192289136,8,8,8,8,23,normal,sector,4,2
87,-1.37859678732846,0.086267747705655,-0.00160303950433448,-1.29541524513413,0.362039300036721,-0.3301006149734,-1.14079433849729,-0.256101194476473,-0.0700491563675167,8,8,8,8,23,normal,sector,4,2
88,-1.38439561521187,0.0870135831094155,-0.000119978805458831,-1.30025796333714,0.36595492339831,-0.332393388475318,-1.24587568609248,-0.264596403519973,-0.151898376708889,8,8,8,8,23,normal,sector,4,2
89,-1.38913129767839,0.086390459866823,0.00139059848051641,-1.30403753612327,0.368501588113546,-0.334658645390137,-1.20199576061263,-0.125681687347999,-0.425157883336564,8,8,8,8,23,normal,sector,4,2
90,-1.40264435279018,0.0850992320717651,0.00637042323310317,-1.31659448155467,0.370380148276317,-0.333454654838344,-1.32780693385367,-0.124634625614509,-0.313468913902965,8,8,8,8,23,normal,sector,4,2
91,-1.418532901018,0.0840003868442727,0.00721007200759243,-1.33152692010209,0.372451091006653,-0.336390840264648,-1.35447375477496,0.0784838659194393,-0.753954025624171,8,8,8,8,23,normal,sector,4,2
92,-1.43503975104389,0.0851248321239303,0.00791855755907001,-1.34707766044758,0.376745324244139,-0.339458188913965,-1.35948603710631,0.236943279941484,-1.11356389444702,8,8,8,8,23,normal,sector,4,2
93,-1.4461153882081,0.0847843389839648,0.00753433513863595,-1.3571971879314,0.379574619062001,-0.343618245535192,-1.40279937123406,0.330694878253487,-1.28211101717874,8,8,8,8,23,normal,sector,4,2
94,-1.45746645479004,0.0865842797069259,0.00926041637232719,-1.36759214483295,0.384544347742791,-0.345667998502295,-1.37778482845079,0.422714425960098,-1.4121838780592,8,8,8,8,23,normal,sector,4,2
95,-1.46639266399961,0.0875388525096134,0.0122844332241343,-1.37556224436212,0.388668708503307,-0.346419815851282,-1.41147093489025,0.353909414170754,-1.34900542770993,8,8,8,8,23,normal,sector,4,2
96,-1.4768890598724,0.0887137118901308,0.0150317294394034,-1.38510253055452,0.393013355841652,-0.347448353836807,-1.44394899456817,0.353495564608435,-1.21458751461619,8,8,8,8,23,normal,sector,4,2
97,-1.48438903077839,0.0880802519169895,0.0175270274033729,-1.39164639178012,0.395549683826339,-0.348728890073631,-1.42125829644139,0.243458208859391,-1.11587468683257,8,8,8,8,23,normal,sector,4,2
98,-1.4929283692643,0.0876419296211861,0.0184110796734783,-1.39922962058563,0.398281149488364,-0.351620672004319,-1.455645298874,0.240314320004757,-1.24466142263155,8,8,8,8,23,normal,sector,4,2
99,-1.50180849246914,0.0891409860830994,0.0185548553565298,-1.40715363411008,0.402949993908106,-0.355252730522062,-1.53404348846766,0.209221330027221,-1.0594499795803,8,8,8,8,23,normal,sector,4,2
100,-1.51430164295549,0.0891181571933696,0.019666699988526,-1.41869067491603,0.406096952976205,-0.357916720090859,-1.56359398667887,0.228848733869759,-1.15272999486257,8,8,8,8,23,normal,sector,4,2
101,-1.52940856943414,0.0896687410918345,0.0186869883627098,-1.43284149171429,0.409817324832498,-0.362672265917469,-1.57839845672017,0.27787318078985,-1.27371144224238,8,8,8,8,23,normal,sector,4,2
102,-1.53851088815627,0.0912050750234391,0.0187463123179353,-1.44098770075602,0.414523446721931,-0.366388776163038,-1.50771039071669,0.471789275599722,-1.53299824045794,8,8,8,8,23,normal,sector,4,2
103,-1.54714908541823,0.0920433729321065,0.0187608396849369,-1.44866978833758,0.418531532588427,-0.37015008299683,-1.57248909368982,0.536777614234741,-1.55809194405726,8,8,8,8,23,normal,sector,4,2
104,-1.55775460940873,0.0908587951385513,0.0196692281385925,-1.45831920264769,0.4205167427527,-0.373017528743968,-1.63937357525605,0.547274021069357,-1.45104828867477,8,8,8,8,23,normal,sector,4,2
105,-1.56732915445435,0.0901272195239202,0.0209340749201083,-1.46693763801292,0.422954955095897,-0.375528516163246,-1.65448978708551,0.532227080563041,-1.40488956438377,8,8,8,8,23,normal,sector,4,2
106,-1.57782422884609,0.0888909129918727,0.0227299009519251,-1.47647660272426,0.424888436521678,-0.377508524332223,-1.68951194919555,0.563627493232719,-1.34095641205635,8,8,8,8,23,normal,sector,4,2
107,-1.58646972389606,0.0885399231841058,0.0265722776077612,-1.48416598809384,0.427707234671739,-0.377441981877181,-1.63004201670397,0.613544380301299,-1.34634709041222,8,8,8,8,23,normal,sector,4,2
